id_cliente,total_compras,gasto_total,gasto_promedio,ultima_compra,primera_compra,edad,pais_clean,puntos_lealtad,gastos_mensuales,ingresos,edad_norm,puntos_lealtad_norm,gastos_mensuales_norm,ingresos_norm,segmento_cliente,PC1,PC2,PC3
CLI00001,2,494.64,247.32,2024-11-15,2023-06-07,26.0,México,3623.0,3950.13,7798.73,0.15384615384615385,0.725521669341894,0.4811848482942974,0.03726791061045784,Ocasional,-3.4091825639574016,-0.13043450496525327,-0.49487672688052425
CLI00002,3,14982.05,4994.016666666666,2024-12-09,2023-03-15,40.0,Estados Unidos,3029.0,3627.42,45803.76,0.42307692307692313,0.6063402889245586,0.43977136667954253,0.5440330633832632,Premium Maduro,-0.9496340316910923,0.8120157360852135,-0.3452685115014898
CLI00003,4,17831.14,4457.785,2024-12-15,2023-04-04,63.0,México,968.0,995.42,34003.28,0.8653846153846155,0.19281701444622792,0.10200593142797011,0.3866835743816116,Premium Maduro,-0.43104501414996876,0.10418869153141598,0.06990486034337319
CLI00004,3,3156.3,1052.1000000000001,2024-02-06,2022-03-16,30.0,Colombia,181.0,6305.01,30627.13,0.23076923076923084,0.03491171749598716,0.7833873817917225,0.341665449924562,Regular,-2.9151728912756756,-0.14420064066711305,-0.04213742207493925
CLI00005,2,4161.06,2080.53,2023-06-09,2022-07-22,42.0,México,4149.0,6073.86,74367.45,0.46153846153846156,0.8310593900481541,0.7537238254245489,0.9249058774977381,Leal Activo,-2.808144365187378,2.2512921322044255,-0.5335732140568763
CLI00006,6,4394.43,732.4050000000001,2024-08-04,2022-01-27,49.0,Estados Unidos,2233.0,5128.69,28607.07,0.5961538461538463,0.4466292134831461,0.6324298450154574,0.3147296465714207,Leal Activo,-2.5477470199140515,0.7332608884238035,1.3940683900040531
CLI00007,2,1399.46,699.73,2024-09-29,2024-09-02,54.0,México,56.0,6839.57,11953.69,0.6923076923076924,0.009831460674157303,0.8519876443555828,0.0926708122570266,Regular,-3.2699180289495233,0.2608871720942946,-0.5475767407440312
CLI00008,3,5584.6,1861.5333333333335,2023-08-15,2022-10-06,59.0,México,3083.0,6438.92,40368.25,0.7884615384615384,0.6171749598715891,0.800572096622474,0.47155510308305776,Premium Maduro,-2.4990057678864077,1.808572086013265,-0.10510019646124172
CLI00009,2,1501.82,750.91,2024-06-09,2022-01-06,61.0,México,3199.0,6423.17,22381.55,0.826923076923077,0.6404494382022472,0.7985508938849314,0.23171756648912228,Regular,-3.273039798858367,1.5437212557587658,-0.5291707988680228
CLI00010,3,31900.530000000002,10633.51,2024-04-19,2023-01-29,60.0,Colombia,4796.0,1710.69,7203.25,0.8076923076923078,0.9608747993579454,0.19379676838556592,0.02932768498313562,Premium Maduro,1.89577585967767,0.8162539628434772,-0.8497634264382965
CLI00011,4,13828.89,3457.2225,2022-10-23,2022-01-12,44.0,Estados Unidos,2126.0,6877.83,61521.27,0.5000000000000001,0.42516051364365975,0.8568975628786547,0.7536128573304878,Premium Maduro,-1.132567830723158,1.5861793844571248,0.30572583186316843
CLI00012,2,4921.38,2460.69,2024-10-14,2023-07-22,33.0,México,3881.0,6541.03,7544.46,0.28846153846153855,0.7772873194221508,0.8136759068783774,0.033877433734224846,Leal Activo,-2.660683575314585,0.6627419835338655,-0.6249219575981942
CLI00013,3,3848.71,1282.9033333333334,2024-05-08,2022-09-09,29.0,Colombia,2497.0,6528.15,49543.83,0.21153846153846156,0.49959871589085075,0.8120230121952314,0.593903755366166,Leal Activo,-2.816550601614867,0.9490856344719716,-0.01185580128578895
CLI00014,6,37682.9,6280.483333333334,2024-06-07,2022-01-19,34.0,México,692.0,7851.58,61367.98,0.3076923076923077,0.1374398073836276,0.9818592241918077,0.7515688639362308,Premium Maduro,2.795711351690599,1.042273619370586,1.0800275492312468
CLI00015,1,2074.82,2074.82,2024-08-26,2024-08-26,62.0,Colombia,63.0,7744.39,13418.45,0.8461538461538461,0.011235955056179775,0.9681034958465888,0.11220215653370509,Regular,-3.15578846915639,0.7194033790506948,-1.1253481489257189
CLI00016,4,13933.689999999999,3483.4224999999997,2024-04-04,2022-05-11,59.0,Estados Unidos,1918.0,2641.75,13815.73,0.7884615384615384,0.38342696629213485,0.3132800078024842,0.11749955163886826,Premium Maduro,-1.0681553132766375,0.18551345689980764,0.15605589230981318
CLI00017,5,12685.14,2537.028,2024-10-06,2022-01-30,63.0,México,4964.0,3994.02,11832.23,0.8653846153846155,0.9945826645264847,0.4868172665895829,0.09105124517720097,Premium Maduro,-1.25313643886321,1.4323296020525031,0.7450425650024708
CLI00018,2,59036.189999999995,29518.094999999998,2024-09-28,2024-02-24,21.0,México,2325.0,5162.81,30338.07,0.05769230769230771,0.46508828250401285,0.6368084759618038,0.3378110776201457,Premium Joven,6.646492940106574,0.1599578808773347,-2.599431121617548
CLI00019,4,10556.83,2639.2075,2023-10-25,2022-08-14,22.0,Colombia,736.0,5651.04,68989.05,0.07692307692307698,0.14626805778491173,0.6994631942189752,0.8531894310780602,Premium Joven,-1.654915385990932,0.42703971463166185,0.375638834074535
CLI00020,9,20022.74,2224.7488888888893,2024-03-04,2022-03-07,58.0,Colombia,1226.0,6339.97,71524.89,0.7692307692307693,0.24458266452648475,0.7878738102174044,0.8870027275024385,Premium Maduro,0.11838532402913449,1.7663687030807136,2.779377907602739
CLI00021,1,58067.09,58067.09,2024-01-21,2024-01-21,58.0,México,3320.0,5335.79,48033.37,0.7692307692307693,0.6647271268057785,0.6590070568849865,0.5737630399751452,Premium Maduro,7.366924489583493,2.0753131454965033,-5.20004312707649
CLI00022,1,1386.48,1386.48,2022-08-21,2022-08-21,60.0,México,3738.0,7614.57,40426.48,0.8076923076923078,0.7485955056179775,0.9514436520759356,0.4723315512228425,Regular,-3.3079943915852543,2.2826795653720557,-1.0105621103877933
CLI00023,1,12179.32,12179.32,2022-12-26,2022-12-26,39.0,Estados Unidos,3839.0,7686.33,55635.18,0.40384615384615385,0.768860353130016,0.9606526367391776,0.6751267911943873,Premium Maduro,-1.301005889807994,2.066225212158959,-1.7524728850070745
CLI00024,5,28479.08,5695.816000000001,2024-05-08,2023-03-20,22.0,Colombia,976.0,793.32,74976.85,0.07692307692307698,0.19442215088282502,0.07607037122115295,0.933031714632974,Premium Joven,1.3215993436427922,-0.31926744608607655,0.5667488709828308
CLI00025,3,11884.6,3961.5333333333333,2024-10-06,2024-01-23,34.0,Estados Unidos,4723.0,3768.32,65018.33,0.3076923076923077,0.9462279293739968,0.45785311053476535,0.8002432150793349,Premium Maduro,-1.4671239110906253,1.5542829248647108,-0.221264810910895
CLI00026,7,32906.56,4700.937142857142,2024-02-27,2022-08-26,64.0,Colombia,1513.0,2081.17,79999.16,0.8846153846153847,0.3021669341894061,0.24134058998587085,1.0,Premium Maduro,2.0619064763934625,1.4027304709151487,1.5730577411072733
CLI00027,3,4129.860000000001,1376.6200000000001,2024-05-06,2023-12-27,36.0,Estados Unidos,3840.0,4570.48,71551.71,0.34615384615384615,0.7690609951845907,0.5607945700869694,0.8873603496750133,Leal Activo,-2.7645420631975766,1.6199478800546991,-0.02146698498845585
CLI00029,6,10991.96,1831.993333333333,2024-09-24,2022-04-21,66.0,México,3351.0,5393.58,35895.11,0.9230769230769232,0.6709470304975923,0.6664232668026113,0.4119095383913802,Premium Maduro,-1.481130793240806,1.773150574995654,1.3116034642121044
CLI00031,2,1756.73,878.365,2024-04-24,2022-07-25,47.0,México,9.0,6667.05,19168.39,0.5576923076923077,0.00040128410914927774,0.8298480953853696,0.1888727767788269,Regular,-3.1994191667855407,0.15285378980201428,-0.5449223582839336
CLI00032,2,2553.02,1276.51,2024-05-21,2024-02-13,18.0,Colombia,3992.0,4257.46,9557.81,0.0,0.7995585874799358,0.5206246093945504,0.06072376487342214,Leal Activo,-3.051234821320419,-0.15370183338992013,-0.5488579977060886
CLI00033,4,1299.29,324.8225,2024-10-10,2022-10-11,63.0,Colombia,299.0,4089.94,68048.94,0.8653846153846155,0.05858747993579454,0.49912671208704906,0.8406538538722734,Regular,-3.1609161142699396,1.1637103718867534,0.4569658754121069
CLI00034,4,11626.07,2906.5175,2024-08-17,2022-08-19,54.0,Colombia,2494.0,4418.43,69892.39,0.6923076923076924,0.49899678972712685,0.541281943023899,0.8652347112187622,Premium Maduro,-1.4807454224118255,1.6768716899775362,0.30644558505774966
CLI00035,4,13639.869999999999,3409.9674999999997,2024-11-01,2022-01-21,57.0,Estados Unidos,2787.0,3280.75,38123.13,0.7500000000000001,0.557784911717496,0.3952830902970719,0.44161831366878074,Premium Maduro,-1.1323079770595283,0.9994016658545651,0.21113033759554087
CLI00036,2,9099.35,4549.675,2024-01-23,2022-10-20,48.0,Estados Unidos,3659.0,7983.9,25358.47,0.576923076923077,0.732744783306581,0.9988398937938167,0.27141229422890883,Premium Maduro,-1.9309470481605444,1.6829908149082184,-0.7572390591645733
CLI00037,2,24869.96,12434.98,2024-02-12,2023-08-26,54.0,México,2734.0,6164.77,61609.7,0.6923076923076924,0.5471508828250401,0.7653903359559776,0.7547919971038204,Premium Maduro,0.7730018304907569,1.9889363820766017,-1.3363216187486207
CLI00038,1,6022.3,6022.3,2023-02-19,2023-02-19,29.0,Estados Unidos,1775.0,1175.06,60739.38,0.21153846153846156,0.3547351524879615,0.12505919236588517,0.7431870109280109,Premium Joven,-2.4237597315775363,-0.04490743404400504,-1.398791772105676
CLI00039,3,1790.23,596.7433333333333,2023-05-01,2022-12-06,40.0,México,270.0,7992.94,39608.49,0.42307692307692313,0.05276886035313001,0.9999999999999999,0.46142434164251506,Regular,-3.15204265120268,0.6818721754770991,0.01498364120156969
CLI00040,4,4364.38,1091.095,2024-07-26,2022-06-16,67.0,Colombia,4218.0,2874.07,53547.21,0.9423076923076924,0.8449036918138041,0.34309371065873245,0.6472854650321653,Leal Activo,-2.6450160515442636,1.9426503395103192,0.3908985061040805
